subject,grade,strand_code,strand_name,overall_code,overall_label,skill_code,skill_summary,notes
Language,1,A,Literacy Connections & Applications,A1,Transferable skills,A1-1,"Practice collaboration, communication and digital safety while reading/writing",Assess within B–D work
Language,1,B,Foundations of Language,B2,Word reading & spelling,B2-1,Blend/segment phonemes; read/pronounce common graphemes,Systematic phonics
Language,1,B,Foundations of Language,B3,Fluency,B3-1,Develop accuracy and phrasing in short texts,Decodable texts
Language,1,C,Comprehension: Understanding & Responding to Texts,C1,Reading/listening comprehension,C1-1,Retell key ideas; make simple predictions using pictures and words,Oral responses welcome
Language,1,D,Composition: Expressing Ideas & Creating Texts,D1,Writing process,D1-1,Generate ideas; write simple sentences with spacing and capitals,Invented spelling allowed early
Language,3,B,Foundations of Language,B2,Morphology & vocabulary,B2-3,Use prefixes/suffixes and base words to infer meaning and spell,Word sums
Language,3,C,Comprehension,C2,Text features & media,C2-2,"Use headings, captions, diagrams to support understanding",Nonfiction focus
Language,3,D,Composition,D2,Revising & editing,D2-2,Revise for clarity; apply basic punctuation and verb tense,Peer feedback
Language,6,A,Literacy Connections & Applications,A2,Digital media literacy,A2-1,Evaluate online sources; recognize bias and purpose,Triangulate sources
Language,6,B,Foundations of Language,B3,Syntax & conventions,B3-2,"Vary sentence types; use commas, quotation marks correctly",Mini-lessons
Language,6,C,Comprehension,C1,Deep reading/listening,C1-3,Summarize objectively; support inferences with evidence,Note-taking
Language,6,D,Composition,D1,Forms & audiences,D1-3,"Write multi-paragraph pieces (narrative, explanation, argument) for specific audiences",Rubrics aligned to D1–D3
