map_file	pdf_file	md_count	pdf_count	md_strands	pdf_strands	duplicates_in_md	missing_from_md	extra_in_md
curriculum/ontario/maps/grade9_math.md		0	0					
curriculum/ontario/maps/grade9_language.md		0	0					
curriculum/ontario/maps/grade4_math.md/grade4_math.md		33	0	B,C,D,E,F				B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B1.7;B2.1;B2.2;B2.3;B2.4;B2.5;B2.6;B2.7;B2.8;C1.1;C1.2;C2.1;C2.2;D1.1;D1.2;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2;F1.3;F1.4
curriculum/ontario/maps/grade7_language.md/grade7_language.md		52	0	A,B,C,D		A3.2;C1.7		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A2.7;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C1.5;C1.6;C1.7;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;C3.4;D1.1;D1.2;D1.3;D1.4;D2.1;D2.2;D2.3;D2.4;D2.5;D2.6;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade2_language.md/grade2_language.md		44	0	A,B,C,D		A3.2;B1.2		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;D1.1;D1.2;D2.1;D2.2;D2.3;D2.4;D2.5;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade5_math.md/grade5_math.md		35	0	B,C,D,E,F		F1.2		B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B1.7;B2.1;B2.2;B2.3;B2.4;B2.5;B2.6;B2.7;B2.8;C1.1;C1.2;C2.1;C2.2;D1.1;D1.2;D1.3;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2;F1.3;F1.4
curriculum/ontario/maps/grade8_language.md/grade8_language.md		50	0	A,B,C,D		A2.3		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A2.7;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C1.5;C1.6;C1.7;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;C3.4;D1.1;D1.2;D1.3;D1.4;D2.1;D2.2;D2.3;D2.4;D2.5;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade7_math.md/Grade7_math.md		33	0	B,C,D,E,F		B1.6;F1.2		B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B2.1;B2.2;B2.3;B2.4;B2.5;C1.1;C1.2;C2.1;C2.2;C3.1;D1.1;D1.2;D1.3;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2;F1.3;F1.4
curriculum/ontario/maps/grade1_language.md/grade1_language.md		29	0	A,B,C,D				A1.1;A1.2;B1.1;B1.2;B2.1;B2.2;B2.3;B3.1;B3.2;C1.1;C1.2;C1.3;C1.4;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;D1.1;D1.2;D2.1;D2.2;D2.3;D2.4;D2.5;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade6_math.md/grade6_math.md		36	0	B,C,D,E,F		F1.1;F1.2		B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B1.7;B2.1;B2.2;B2.3;B2.4;B2.5;B2.6;B2.7;B2.8;C1.1;C1.2;C2.1;C2.2;D1.1;D1.2;D1.3;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2;F1.3;F1.4
curriculum/ontario/maps/grade4_language.md/grade4_language.md		48	0	A,B,C,D		A3.2;A3.3		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C1.5;C2.1;C2.2;C2.3;C2.4;C3.1;C3.2;C3.3;C3.4;D1.1;D1.2;D2.1;D2.2;D2.3;D2.4;D2.5;D2.6;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade3_math.md/grade3_math.md		31	0	B,C,D,E,F		F1.2		B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B2.1;B2.2;B2.3;B2.4;B2.5;B2.6;B2.7;B2.8;C1.1;C1.2;C2.1;C2.2;D1.1;D1.2;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2
curriculum/ontario/maps/grade3_language.md/grade3_language.md		45	0	A,B,C,D		A2.3;A3.1		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;D1.1;D1.2;D2.1;D2.2;D2.3;D2.4;D2.5;D2.6;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade2_math.md/grade2_math.md		34	0	A,B,C,D				A1.1;A1.2;A2.1;A2.7;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.5;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.7;C2.1;C2.7;C3.1;C3.8;D1.1;D1.2;D1.3;D1.4;D1.5;D2.1;D2.6;D3.1;D3.3
curriculum/ontario/maps/grade6_language.md/grade6_language.md		48	0	A,B,C,D		A2.3;A3.2		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A2.7;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;C3.4;D1.1;D1.2;D1.3;D1.4;D2.1;D2.2;D2.3;D2.4;D2.5;D2.6;D3.1;D3.2;D3.3
curriculum/ontario/maps/grade5_language.md/grade5_language.md		49	0	A,B,C,D		A2.3		A1.1;A1.2;A2.1;A2.2;A2.3;A2.4;A2.5;A2.6;A2.7;A3.1;A3.2;A3.3;B1.1;B1.2;B1.3;B1.4;B1.5;B2.1;B2.2;B2.3;B3.1;B3.2;B3.3;C1.1;C1.2;C1.3;C1.4;C1.5;C2.1;C2.2;C2.3;C3.1;C3.2;C3.3;C3.4;D1.1;D1.2;D1.3;D1.4;D2.1;D2.2;D2.3;D2.4;D2.5;D2.6;D3.1;D3.2;D3.3
curriculum/ontario/maps/elementary/grade4_math.md/grade4_math.md		33	0	B,C,D,E,F				B1.1;B1.2;B1.3;B1.4;B1.5;B1.6;B1.7;B2.1;B2.2;B2.3;B2.4;B2.5;B2.6;B2.7;B2.8;C1.1;C1.2;C2.1;C2.2;D1.1;D1.2;D2.1;D2.2;E1.1;E1.2;E1.3;E2.1;E2.2;E2.3;F1.1;F1.2;F1.3;F1.4
